cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
100,Johnson City,576081,47,Tennessee,TN,81.803154,82.236778,84.030312,84.421387,86.322166,86.651878,87.82888,88.09465,75.476265,75.968956,80.273422,80.704201,83.009087,83.381584,84.409355,84.76358,.21988504,.22039665,.26781741,.26876533,.33145031,.32320762,.42964709,.4119603,.17251343,.18462676,.21300034,.22266239,.28413329,.28036031,.448818,.43209305,469268,448883,364376,202619,446528,456216,341333,187282
200,Morristown,227816,47,Tennessee,TN,81.326363,81.764053,83.956436,84.343384,84.872223,85.250847,88.110596,88.289772,74.956512,75.419853,80.144463,80.550888,82.094635,82.469414,84.141571,84.473213,.32878712,.32323396,.40259421,.39285645,.52652311,.50851542,.61237186,.58806545,.25765988,.26300567,.32418236,.32653412,.45865956,.44109261,.73300606,.70861793,233428,199116,151926,72675,215500,202248,142344,66137
301,Middlesborough,66708,47,Tennessee,TN,82.440483,82.890648,85.683884,85.949814,85.750008,86.093452,86.434357,86.47567,75.580559,76.098907,80.749657,81.105942,83.154846,83.543991,86.844643,86.922371,.6701982,.64388371,.88903588,.85329312,1.260725,1.1996924,1.9293667,1.8892825,.49379346,.49465597,.7385785,.72122091,1.2114443,1.1732529,1.8186839,1.7747378,59222,42529,25973,9897,59211,43418,24552,9062
302,Knoxville,727600,47,Tennessee,TN,80.880814,81.411613,83.724632,84.124176,85.699905,86.081345,88.330414,88.530319,74.505943,75.08934,79.544472,79.983749,83.133629,83.535843,85.453163,85.72937,.21875656,.22075833,.25042328,.24366178,.29195234,.2842178,.28850928,.27830565,.17703229,.19277418,.21496688,.21778528,.25690353,.25698784,.28773499,.28270143,505662,511618,487133,419858,466740,485002,472548,397129
401,Winston-Salem,493180,37,North Carolina,NC,81.29409,82.032745,84.224304,84.751465,85.669189,86.107285,86.874992,87.214569,75.125519,75.910576,79.74131,80.330276,82.336601,82.832664,85.61615,85.945572,.27834147,.26928753,.29494223,.28624329,.32341936,.31283975,.42912832,.41421974,.22307007,.23189858,.25865951,.26052967,.31687829,.3122052,.37295499,.36129332,353513,380424,373239,303196,316688,345396,347951,281565
402,Martinsville,92753,51,Virginia,VA,82.299667,83.158401,85.154892,85.643509,86.130531,86.697464,85.243446,85.713409,74.687737,75.743217,82.14489,82.684021,82.431511,83.081902,83.243187,83.726303,.52699554,.5095498,.5755493,.55024165,.81999093,.77489775,1.3779817,1.3246723,.39511287,.40082237,.53270376,.5176006,.68367934,.66303521,1.1742879,1.1410085,89396,74119,52717,22792,82853,72945,47929,20207
500,Greensboro,1055133,37,North Carolina,NC,81.492355,82.368538,84.174362,84.737312,85.823166,86.265373,87.680077,87.96936,75.147202,76.112083,79.143562,79.780579,82.416275,82.90731,85.043098,85.389442,.19652547,.20057492,.21327998,.20738125,.23880486,.23141603,.29255748,.28240678,.15385203,.17211488,.18652882,.1905064,.23095232,.23069228,.2941474,.2862024,775588,764372,699105,524033,695228,721452,660778,485007
601,North Wilkesboro,90016,37,North Carolina,NC,83.356812,83.710175,84.687782,85.09481,86.640327,86.918228,86.649422,87.039001,76.810455,77.235046,80.486969,80.949142,82.343246,82.738152,84.148056,84.524254,.52436727,.50234348,.67048025,.63874376,.89448148,.85032833,1.281442,1.2126417,.44071686,.43616396,.5984388,.58566326,.83743727,.81497318,1.0182854,.98021805,79038,72700,51842,27287,79581,73665,47086,24426
602,Galax,64676,51,Virginia,VA,82.203163,82.625916,84.880333,85.239449,87.635635,87.881416,89.186638,89.373894,77.35186,77.784325,80.106018,80.552711,83.183044,83.565536,84.979385,85.333481,.62750185,.60311419,.77670151,.73762023,.88240004,.83839351,1.0823292,1.0199031,.52223772,.51486039,.6555751,.64397764,1.0013139,.9674471,1.4937302,1.4237363,55199,49665,34643,12547,56077,52031,30865,10837
700,Spartanburg,354533,45,South Carolina,SC,81.381172,82.255867,83.923584,84.498672,85.502129,85.891869,88.083511,88.344147,73.705917,74.685555,79.190536,79.841705,81.773354,82.209328,84.271461,84.618057,.30215645,.29754901,.35288587,.34040061,.41674626,.40068519,.48957831,.46736369,.22691679,.23934411,.29537457,.29047236,.39028019,.38278419,.52420038,.50884986,276821,250094,215516,143106,246079,252571,207870,132603
800,Gastonia,413331,37,North Carolina,NC,80.419579,81.250008,83.723511,84.166054,85.417046,85.766617,87.33075,87.667389,74.151581,75.019791,78.917519,79.40258,81.229485,81.645409,84.568756,84.945648,.29700181,.2938073,.32262743,.31260085,.38835558,.37688813,.49345484,.46888366,.21231686,.22406927,.26810753,.26945153,.34495077,.34265709,.4548361,.43853766,320964,311054,285278,177507,285392,318219,278434,164277
900,Charlotte,1423942,37,North Carolina,NC,81.44075,82.327843,84.195503,84.709335,85.729263,86.076332,87.554039,87.803978,75.273163,76.238579,79.332672,79.914413,82.330093,82.737312,84.964363,85.266724,.1755884,.18243727,.1983501,.19528951,.21730667,.21328019,.22626184,.21995385,.13957006,.15603629,.17737551,.18307389,.19319852,.19270438,.21468222,.21043943,998780,1026849,993688,1071960,884986,937699,951334,1059020
1001,Boone,77361,37,North Carolina,NC,83.078148,83.41571,85.058708,85.382088,88.22464,88.478333,87.546623,87.917839,77.526474,77.946129,82.428581,82.77787,85.33252,85.613762,85.417786,85.771049,.63589728,.61389101,.82270443,.78645855,.847969,.80216193,1.3157761,1.2434025,.55473661,.55189782,.66960168,.64508146,.82075083,.78528887,1.1092438,1.066048,54926,52327,41336,28704,55970,50754,36315,25706
1002,Morganton,164760,37,North Carolina,NC,81.618843,82.070564,84.076416,84.489288,86.102798,86.46727,87.352203,87.646896,75.476555,75.960503,79.803139,80.269341,82.734314,83.117195,84.780518,85.113167,.4616119,.44557011,.52196318,.50089449,.69110096,.65938443,.95222187,.90107971,.33374929,.33644375,.41637334,.40773445,.54684424,.52922201,.85747522,.81916052,125186,129283,99729,41398,122674,128692,91671,36166
1100,Hickory,375363,37,North Carolina,NC,80.653053,81.291702,83.463112,83.849121,85.656769,86.028595,87.619598,87.946266,74.732529,75.398819,79.629761,80.063042,81.290596,81.736122,84.75634,85.145164,.31214041,.30699959,.33658645,.32680309,.39322522,.37879893,.45489848,.43077445,.22982131,.23384665,.28472733,.28024018,.34853753,.34586003,.48585716,.46624914,284972,299912,280917,196422,267425,308291,271392,186541
1201,Franklin,44861,37,North Carolina,NC,83.561501,83.807487,85.580093,85.914268,87.647942,87.886734,87.108231,87.405045,77.229057,77.618393,81.588356,81.993034,83.152962,83.517883,84.615639,84.865379,.68287534,.64952356,.79550397,.75713569,.91396612,.86691135,1.6478074,1.5785296,.59720349,.58643615,.76026797,.73931551,1.1232927,1.0862483,1.201407,1.1662705,42493,37310,28282,17739,39144,35397,23745,14857
1202,Sylva,54082,37,North Carolina,NC,81.079826,81.529572,85.285965,85.635025,86.873329,87.169235,88.025932,88.228859,75.061707,75.514046,80.348862,80.770248,82.367119,82.752068,83.6325,83.897346,.69099015,.66963452,.82967889,.78591162,1.0180578,.96502143,1.3411899,1.2797456,.53285164,.52634329,.73862833,.72005635,.99014884,.95796454,1.2689667,1.2265902,47630,42906,31354,17544,44373,39884,27714,14767
1203,Asheville,398505,37,North Carolina,NC,82.518921,82.978416,85.277122,85.616196,86.161301,86.506325,88.979561,89.19165,76.74987,77.270042,81.331558,81.734612,83.680649,84.038025,85.004143,85.328873,.27330124,.26843029,.3184489,.31111768,.37265313,.35952204,.38675988,.36592188,.24008699,.24590492,.28939149,.28279763,.34829059,.34412524,.43130916,.42219108,320236,323430,289750,197950,293361,292615,256639,172403
1204,Andrews,59681,37,North Carolina,NC,84.087349,84.362396,85.114388,85.462654,87.972664,88.227318,87.903961,88.222916,76.935783,77.367081,80.936195,81.3414,84.142334,84.490021,84.90699,85.274315,.55888039,.53324151,.78542358,.75246692,.76921046,.72948879,1.1937474,1.1267469,.49437508,.4908444,.72259456,.7093966,.81047755,.77655351,1.2124887,1.1642649,63122,51517,37219,23036,56192,48010,31925,19465
1301,Bennettsville,71586,45,South Carolina,SC,81.311798,82.683792,85.201256,85.874863,83.531349,84.35524,87.933037,88.231453,73.466873,75.026215,78.518433,79.25502,80.924591,81.718819,83.195801,83.675919,.61538213,.60382044,.75664979,.722161,1.1777405,1.1277417,1.9508319,1.8824381,.46181831,.48123741,.70609027,.69695652,1.0101862,.98582345,1.4726906,1.4323226,74059,44472,28797,12382,60426,48308,28333,10853
1302,Florence,548986,45,South Carolina,SC,81.755913,82.852371,83.892067,84.548592,85.1567,85.64846,86.638069,86.994995,74.669113,75.934959,79.011055,79.741135,82.160088,82.68779,83.676117,84.106003,.23007816,.24296878,.27610707,.26946005,.32763907,.31607071,.43778488,.41970408,.17693752,.20139585,.23914619,.2401692,.30060887,.29706097,.39462152,.38608238,584868,389315,303839,219654,472395,364911,277671,197916
1400,Fayetteville,644101,37,North Carolina,NC,81.239655,82.080246,83.48983,84.129257,83.833206,84.348579,86.942284,87.288605,74.821144,75.910011,79.137512,79.890862,82.260544,82.826073,84.197701,84.6446,.23725757,.24516638,.30835003,.2999483,.3598156,.35082424,.41492271,.3997705,.18749791,.19964994,.26518634,.2706413,.32359236,.32082993,.41062024,.39912036,518038,394636,333422,221534,415872,382368,320258,200975
1500,Wilmington,361559,37,North Carolina,NC,81.977219,82.822548,84.376411,84.918892,85.25724,85.731583,87.96846,88.269379,75.107056,76.089592,80.312462,80.895599,82.79126,83.266663,85.21981,85.580635,.29798573,.29529142,.35038224,.33971372,.39432198,.38015211,.37870127,.36134797,.24314004,.25560501,.31754568,.31603482,.35444239,.34524781,.42679963,.41505191,307223,263087,243156,211035,252253,240045,228908,190717
1600,Rocky Mount,216840,37,North Carolina,NC,81.764931,83.210213,84.408905,85.228668,85.799263,86.340675,86.78582,87.171997,74.664352,76.272491,78.647209,79.559547,81.421471,82.029167,83.224731,83.648727,.38304961,.38873407,.48348644,.47150275,.54260331,.52165318,.73119766,.6975925,.32070091,.34449843,.40927672,.41519079,.53141677,.52095902,.65959662,.64142126,191879,147126,121048,84815,153926,135747,115643,77668
1701,Raleigh,1412127,37,North Carolina,NC,81.610123,82.539993,84.370743,84.917,86.400963,86.778923,88.050964,88.197868,75.631477,76.593483,79.526688,80.155487,82.839417,83.294273,85.929756,86.152779,.19867983,.2078604,.20788063,.20510098,.21736212,.21091601,.21082684,.20798051,.1555021,.17442898,.18917131,.19331729,.20170289,.19805959,.19784489,.1916035,817631,960378,983683,1250601,742356,805972,915902,1225689
1702,Henderson,62926,37,North Carolina,NC,81.680267,83.298256,83.53846,84.283981,84.685043,85.424271,87.475494,88.05101,75.161301,77.065285,80.258644,81.069031,82.800056,83.533325,83.296577,83.979561,.67972428,.65969825,.89694875,.87806761,1.2395098,1.1838936,1.6025569,1.497151,.5489623,.57171887,.81715667,.80961269,.98998052,.95332056,1.4278412,1.3777994,62644,40748,27531,14312,50008,38378,25663,12216
1800,Goldsboro,222553,37,North Carolina,NC,81.220192,82.334236,83.399773,84.217072,84.074013,84.675392,86.558662,86.921432,74.652809,75.8088,78.970238,79.750053,80.714104,81.346497,83.808159,84.281425,.40384302,.40594316,.45613664,.43233737,.63501495,.61195046,.80615067,.77119887,.31107575,.3297742,.41837209,.41384551,.51340622,.50532728,.78591317,.75529325,176685,138315,112931,61428,148961,139402,106811,54226
1900,Jacksonville,536909,37,North Carolina,NC,81.329346,82.306427,83.984329,84.538712,85.547943,85.992126,86.64978,86.973587,75.229599,76.373489,79.41053,80.070282,82.38752,82.914589,84.65181,85.044456,.28021967,.28037634,.34405053,.33270374,.35368067,.34105682,.44693911,.4314028,.22490774,.24210447,.28790769,.28487056,.31881115,.31295466,.43091244,.41747382,391718,333543,314216,222216,314456,314438,298697,198977
2000,Virginia Beach,1119468,51,Virginia,VA,80.737259,81.747963,83.116737,83.672981,85.139091,85.435486,86.94429,87.111839,74.349884,75.556267,78.501389,79.191986,81.874382,82.309204,85.025536,85.311821,.21424866,.23976755,.23419487,.23941635,.24708234,.24839476,.26035976,.2586478,.17242244,.20517272,.20621742,.21680991,.21356717,.21459895,.25229949,.24759398,692607,702236,744420,681509,537349,653732,740058,647532
2100,Washington,124216,37,North Carolina,NC,81.853661,82.968109,83.438957,84.221466,86.637665,87.040771,86.609718,86.965736,75.061546,76.284309,79.994354,80.769211,80.477509,80.990799,84.272469,84.685669,.50006789,.48561144,.64475828,.61472428,.67253649,.64065641,.87915057,.83809662,.40047067,.41037655,.51980758,.50634915,.56122857,.54989529,.72915924,.70548844,118182,89399,77287,54524,96766,87253,73472,47559
2200,South Boston,158234,51,Virginia,VA,82.435081,83.588219,83.688332,84.607803,85.618835,86.300842,86.94442,87.31292,75.112175,76.444633,80.504166,81.489838,82.423775,83.151375,85.014374,85.441689,.42479491,.41826102,.53491569,.51540166,.6590876,.62471193,.927706,.88870275,.33207595,.34322354,.44431612,.43663752,.60737997,.5924145,.79768145,.7686305,132391,107900,83357,41244,116597,108307,76760,35349
2300,Lynchburg,228616,51,Virginia,VA,81.688812,82.523643,84.926559,85.483734,86.296143,86.660263,88.065063,88.377609,75.477921,76.431137,79.862411,80.510117,83.038765,83.478203,85.245766,85.633003,.41264322,.40242565,.41557115,.39705768,.4774406,.45740905,.54144567,.51287156,.33426058,.3388243,.39116594,.38469478,.46326548,.45351449,.55054289,.53213859,161391,170885,169901,123879,138784,162754,164223,112562
2400,Richmond,1040192,51,Virginia,VA,80.468307,81.728447,83.739212,84.427902,85.433327,85.888466,87.229431,87.530067,74.500206,75.872192,78.843079,79.653244,82.031784,82.570923,85.134354,85.488792,.21578082,.24565363,.23285784,.23297977,.24540019,.23961002,.23849291,.23071021,.17158028,.19929181,.19567072,.20482785,.21644469,.21695365,.22582069,.22089295,610499,743771,782606,872030,526973,623364,733580,832227
2500,Newport News,570854,51,Virginia,VA,81.508179,82.489578,84.222984,84.803635,85.209068,85.744316,87.935913,88.176697,74.298737,75.555153,78.952469,79.741135,82.143921,82.752731,85.11145,85.485947,.30334273,.3073175,.31172067,.30750522,.32278872,.30890849,.30372158,.29349631,.22998439,.2545366,.27876925,.27963689,.2925218,.28833726,.30221981,.29574069,357941,361316,404809,391899,275022,343859,409851,358647
2600,Roanoke Rapids,139055,37,North Carolina,NC,82.598045,84.125931,83.362717,84.30265,85.591606,86.363899,87.51255,88.026718,74.793739,76.570374,79.958351,80.921265,81.262077,82.06971,83.506142,84.137383,.47076976,.47719589,.62826592,.61247993,.76416832,.72264278,1.0320919,.98255652,.34968945,.38449174,.53955638,.54297078,.729002,.71798933,1.0364673,1.0036325,135798,84698,61625,31405,106119,88120,57469,27334
2700,Gulfport,458674,28,Mississippi,MS,81.04319,81.588181,83.049759,83.542679,83.374115,83.827805,85.86573,86.247292,74.425507,75.207138,78.702271,79.278809,80.822289,81.317581,84.199684,84.581337,.28273171,.28143826,.32830194,.3191238,.40780178,.394236,.49171135,.4693785,.21197246,.21840522,.26945046,.27189577,.35179305,.34825966,.45808595,.44221428,351504,285178,254742,174993,303933,298555,260280,165198
2800,Laurel,120505,28,Mississippi,MS,82.009415,83.041183,83.697762,84.316475,84.85247,85.369911,87.408104,87.756424,75.653801,76.847687,79.217583,79.902672,81.976051,82.494553,82.888512,83.3694,.54436618,.53021795,.73478603,.70986974,.91759712,.87772411,1.0284708,.97627819,.44226351,.4441101,.63589531,.63074398,.8174895,.79497564,1.1108265,1.0732132,95866,63830,48663,28049,79673,71076,47983,26181
2900,Hattiesburg,157181,28,Mississippi,MS,81.287361,82.31044,85.612801,86.155693,84.775131,85.211937,87.458588,87.756088,75.221748,76.435661,80.084908,80.783974,83.451378,83.866425,84.186172,84.584663,.48206407,.46984565,.58988351,.56465453,.71824318,.69373763,.89422619,.85793412,.38348386,.39289171,.49811816,.48909312,.66632611,.64648104,.86151171,.83317685,134918,92050,77373,58506,111502,93285,75470,55527
3001,Kosciusko,41270,28,Mississippi,MS,82.355637,83.801743,83.325066,84.276367,88.20742,88.693092,82.700233,83.151688,75.002136,76.920784,78.551704,79.584106,80.737114,81.484314,85.838776,86.274513,.93888289,.91298509,1.306536,1.2696971,1.3609595,1.2909867,2.391211,2.352932,.66082036,.66975737,1.0404507,1.0340049,1.4724197,1.4446743,1.7639586,1.706091,42512,19793,12516,6578,35255,20538,12028,5715
3002,Yazoo City,39355,28,Mississippi,MS,80.357849,81.998062,82.33622,83.158241,86.502808,87.270958,82.594124,83.30555,73.327904,75.17057,78.859451,79.730217,80.88562,81.888657,82.190224,82.756874,1.0115128,1.0039755,1.5126193,1.4832107,1.5833139,1.4572246,2.2296939,2.1824443,.70452952,.72937042,1.2195722,1.2026963,1.3743482,1.3117555,2.2013884,2.183857,34397,15564,11670,7171,29480,16169,11634,6400
3003,Jackson,546560,28,Mississippi,MS,81.305099,82.709122,83.782417,84.645424,86.473282,87.035271,87.266411,87.628342,74.321709,75.975616,79.092125,80.061241,82.21637,82.889275,83.711563,84.160202,.27803412,.30149099,.32178786,.31893298,.37480366,.3609716,.42851946,.41117322,.22310746,.2649433,.29037738,.29733852,.34496477,.33954912,.38633907,.37750646,427170,336501,285185,262848,347874,296335,269384,247537
3101,McComb,103602,28,Mississippi,MS,81.886871,83.18161,84.244041,85.049789,84.254433,84.798859,87.732323,88.152641,74.690857,76.267792,80.29631,81.166092,81.915581,82.483971,82.717995,83.286247,.56588566,.5565685,.76952124,.73722064,1.0383404,1.0007368,1.1528423,1.0923598,.42626545,.43862563,.67834389,.66730642,.83088875,.80988532,1.336751,1.3023151,98687,53423,39636,23403,80171,56588,38745,21906
3102,Brookhaven,46424,28,Mississippi,MS,81.095329,82.226639,84.416428,85.039368,84.362694,84.825996,87.510033,87.733917,73.990555,75.309669,79.822136,80.557549,82.01223,82.487152,83.265305,83.569038,.87663513,.85479766,1.0343807,.99314064,1.3101304,1.2618622,1.4965745,1.4502836,.63367975,.63792348,.90359414,.88198549,1.106809,1.0805392,1.5615507,1.5322406,40383,27354,22799,15175,33416,29087,24082,14474
3201,Jena,25202,22,Louisiana,LA,80.522308,81.266258,83.372948,83.939972,86.427383,86.836014,88.67601,88.931435,76.136581,77.069473,79.051834,79.63636,82.332993,82.838516,83.802277,84.231262,1.0401218,1.0200027,1.5748472,1.5072581,1.8200591,1.723789,2.033637,1.9236003,.93506247,.92258292,1.2106451,1.1858917,1.6510701,1.6030968,2.8767881,2.7855752,20808,13840,11851,7109,17535,14975,12481,6575
3202,Natchez,69653,28,Mississippi,MS,80.42849,81.914833,82.02832,82.895958,83.948914,84.535904,84.896133,85.583694,75.303322,76.955032,81.090324,81.818062,80.463844,81.074432,82.98037,83.645691,.66576457,.66484481,.91089064,.87980258,1.0654932,1.0264039,1.4473095,1.3780609,.52317476,.54092878,.80375648,.78230244,1.0071067,.99025148,1.2783387,1.2267636,66451,36460,26264,16990,53391,36665,24894,15829
3203,Vicksburg,84943,28,Mississippi,MS,80.232834,82.062622,84.658501,85.551559,84.25618,84.956917,85.657631,86.133659,73.732582,75.649773,77.362,78.378845,81.900337,82.592979,84.53038,84.980438,.69443107,.69666016,.81384218,.78228956,.94714677,.90912843,1.2159361,1.164283,.47863841,.52672464,.72835016,.73502135,.87189204,.84962022,1.0652837,1.02395,70402,42294,33634,28643,56622,41699,33843,27076
3300,New Orleans,1381652,22,Louisiana,LA,81.567429,82.450912,83.887886,84.423126,84.653458,85.031616,86.692238,86.954178,75.205704,76.293304,79.37693,80.007225,81.464211,81.887993,84.404221,84.703346,.17849544,.19801027,.22163087,.21919616,.25188628,.24489622,.28479555,.2740553,.14493805,.17256382,.18892723,.19423419,.22041698,.21743234,.25552088,.25025669,967442,748570,637085,627571,809325,697721,627503,611730
3400,Houma,271365,22,Louisiana,LA,81.286011,82.148979,83.530373,84.066383,84.667862,85.125687,85.626228,85.937241,74.824326,75.823959,80.138947,80.680023,82.066498,82.51265,83.528397,83.855743,.38621047,.37753257,.48980051,.4696075,.53282315,.51055872,.6797784,.65691346,.29454729,.30139822,.35343066,.34725726,.4331356,.42296833,.61835355,.59988296,201436,147643,153983,113441,167768,175579,169981,112576
3500,Baton Rouge,806561,22,Louisiana,LA,81.333237,82.581856,83.799164,84.439285,85.486786,85.961021,87.75708,88.054893,74.506187,75.999664,79.576584,80.302277,82.419113,82.925781,84.17318,84.546051,.22532344,.24258257,.28310925,.27974594,.30100706,.29368198,.32004371,.30758867,.18957643,.21494508,.23739877,.23969516,.27610761,.27273381,.30279475,.29597813,594983,477956,445212,446568,452194,441594,458154,436231
3600,Alexandria,186516,22,Louisiana,LA,81.183578,82.232422,84.266556,84.92791,85.689804,86.014046,85.095726,85.376305,74.931229,76.087578,78.671326,79.414368,81.18541,81.601662,83.857964,84.163857,.40798944,.39797306,.49813235,.47361708,.60277605,.58068109,.87171859,.84365684,.33443668,.34196663,.45686185,.45510298,.56361985,.55464447,.81105018,.79032493,156653,113626,96224,66814,130347,110475,93490,62970
3700,Lake Charles,335960,22,Louisiana,LA,80.201141,81.039124,83.721474,84.290627,83.93364,84.375267,86.004288,86.370941,74.500031,75.493622,78.161469,78.85672,81.066689,81.538284,82.420609,82.892616,.32798767,.32488546,.40798441,.39135608,.49949202,.48090127,.6010806,.57460678,.26603585,.27079725,.3395454,.34085056,.41338846,.40616018,.53504026,.52129787,238648,183804,182454,135480,189847,189302,195819,131391
3800,Lafayette,548154,22,Louisiana,LA,81.489693,82.512405,83.684814,84.246658,85.581787,85.984245,86.644501,86.938263,75.392883,76.583694,80.366737,80.962341,81.962738,82.41584,84.49176,84.806129,.2801235,.28062066,.35094351,.33982396,.40850586,.39441323,.4849225,.46631244,.21118231,.2255397,.30294359,.30072042,.3511804,.34366062,.43422368,.42069623,425763,301050,277801,230612,338553,314990,294387,228085
3901,Monroe,253878,22,Louisiana,LA,80.499245,81.65625,83.48391,84.130127,85.319328,85.795784,86.334496,86.757599,74.450783,75.735153,79.606956,80.303352,81.760323,82.278976,83.621933,84.06144,.36688146,.37091109,.48674771,.47258946,.5915485,.56520426,.69082487,.65953404,.2976391,.3134048,.40984386,.40794683,.51188505,.50800347,.62043989,.59745669,214852,139499,117719,89711,173929,134381,116942,84267
4001,Magnolia,34162,5,Arkansas,AR,79.834099,81.100021,83.209343,84.083801,84.458252,84.968147,86.792885,87.197113,72.869392,74.222237,78.651299,79.559616,80.880424,81.416138,82.749634,83.233345,.97941875,.95134044,1.2477138,1.1914006,1.3608438,1.3043221,1.950574,1.8632212,.66808736,.67565495,1.0542775,1.0423075,1.3556403,1.3241208,1.8065002,1.7580166,26378,17584,15198,9866,21131,19314,15448,8857
4002,Shreveport,499101,22,Louisiana,LA,80.69445,81.9524,83.655228,84.432724,85.130638,85.602173,86.687988,87.124527,74.16111,75.594139,78.496353,79.355949,81.664406,82.214188,84.316154,84.791199,.27915868,.30496278,.34446517,.33681175,.37323287,.36206564,.46140862,.43976593,.21192162,.23744941,.29321998,.29866132,.32893178,.32386854,.44113702,.42370149,401842,289048,253002,202911,314732,273559,247257,188474
4003,Ruston,74800,22,Louisiana,LA,79.20121,80.458511,82.916817,83.787384,85.80545,86.350922,86.887054,87.2547,73.778351,75.105064,79.408058,80.269463,81.644661,82.257156,82.423096,82.895027,.69393134,.68712771,.85213852,.80870914,1.0216897,.96685195,1.1103773,1.0575542,.53035486,.54028022,.72057348,.70916051,.88044703,.863096,1.1570674,1.134977,51914,38946,36220,27092,41167,40519,37119,24567
4102,Pine Bluff,168122,5,Arkansas,AR,79.897255,81.245193,83.577217,84.380135,84.79982,85.462555,86.226868,86.631485,74.727058,76.230049,77.98391,78.880943,81.452591,82.139183,83.621445,84.103615,.43480965,.45301777,.56499499,.54425883,.68537235,.6573807,.82866824,.79827082,.3827931,.39432037,.4961085,.49428177,.58202845,.57203019,.84231961,.81637675,129456,94669,74105,46121,105536,92461,73383,41379
4103,El Dorado,89373,5,Arkansas,AR,78.993195,80.399521,83.283058,84.013519,85.420158,85.978188,86.379524,86.775414,73.483658,75.033989,77.548538,78.357315,81.018982,81.67511,84.616051,85.020126,.57721895,.57302666,.68317187,.65939295,.86713731,.8240068,1.1341968,1.0816573,.44365323,.45616382,.58881557,.58696234,.81895781,.80201709,.97998619,.94152373,71242,52931,44746,27734,58163,56608,45398,25275
4200,Little Rock,630854,5,Arkansas,AR,79.846954,80.697205,83.505867,84.109306,85.068161,85.461731,87.623734,87.871941,74.428459,75.389297,78.766571,79.445663,81.856468,82.309219,84.422104,84.76693,.26043475,.2617023,.29515296,.2844111,.32719809,.31913424,.353174,.34213856,.19989622,.20533665,.24224636,.24707109,.28866902,.28823036,.31267676,.30605698,414285,436648,419329,358972,374253,391702,392866,337264
4301,Stuttgart,40542,5,Arkansas,AR,80.586731,81.628487,82.360603,83.049271,84.64325,85.01963,83.872574,84.30175,74.561317,75.721008,77.773911,78.517357,81.102776,81.525543,84.377808,84.732368,.90550196,.87805498,1.031435,.99275392,1.3219926,1.2744607,1.962326,1.9078882,.63962108,.64083689,.87527245,.86596972,1.1576819,1.1314148,2.0007386,1.9528861,33220,26341,18899,9954,29293,27994,18206,8583
4302,Searcy,94324,5,Arkansas,AR,81.091499,81.739998,84.174278,84.563416,84.874756,85.244186,89.084999,89.253006,74.131836,74.825798,79.310638,79.76931,82.28743,82.647659,84.454178,84.796188,.58045679,.55725873,.68903685,.66116261,.88294095,.84956473,.90637904,.86320484,.41702572,.42021954,.60004014,.58819371,.764072,.73938882,1.1916034,1.1484095,76301,62979,52554,27477,69676,64980,51055,24690
4401,Corbin,144931,21,Kentucky,KY,80.821014,81.280022,84.251022,84.65139,84.453491,84.851952,86.869484,87.096214,75.727455,76.195038,79.544579,80.023018,83.208076,83.568748,83.879417,84.239105,.46581152,.45557997,.63795221,.61156923,.87157011,.83801842,1.2762564,1.224665,.37833226,.38203219,.54657412,.53914374,.76757038,.74316168,1.0970937,1.057245,116937,86222,61598,29317,111153,86674,59185,27561
4402,Richmond,116256,21,Kentucky,KY,81.770477,82.213539,84.40715,84.859238,86.825142,87.149529,86.719734,86.95845,75.375114,75.863167,80.314827,80.796486,81.945267,82.367828,85.839684,86.064125,.56909043,.55198181,.71200055,.6790325,.82798171,.78553689,1.3182813,1.2737921,.43047228,.4358215,.62032628,.60243374,.76434159,.74194366,.92398542,.89085186,85441,75485,62674,36411,78943,76377,61221,34434
4501,West Liberty,49887,21,Kentucky,KY,80.978035,81.426361,84.034279,84.448509,82.871834,83.339798,90.197304,90.296432,76.379585,76.821396,79.033051,79.520576,81.954704,82.347061,90.16053,90.222008,.93939775,.91070592,1.3506281,1.2910317,1.7139467,1.6543387,1.7534201,1.6762844,.62955999,.62076616,1.0664929,1.0447097,1.5193405,1.4746518,1.8585553,1.7893587,38131,25957,16878,5982,39462,26665,16327,4537
