cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
25200,Henderson,151629,21,Kentucky,KY,79.448212,80.087013,82.764526,83.25148,84.904251,85.334999,86.625778,86.883781,73.632347,74.287064,79.046913,79.530746,82.436203,82.87085,83.688187,84.012009,.45547172,.44490218,.55936909,.53935176,.64142901,.61580932,.89462984,.85949808,.33120257,.33620888,.4235124,.42046028,.55523068,.5354507,.83274132,.80486625,108664,104805,103362,54852,98103,109185,101825,49724
25300,Union City,117387,47,Tennessee,TN,81.041229,81.633965,83.345284,83.815681,85.187744,85.618385,86.574699,86.927795,74.913383,75.508171,79.194435,79.701576,81.677681,82.134415,83.312119,83.686104,.53410274,.51901674,.64168495,.6141035,.77887458,.74008769,1.0914341,1.038556,.40296182,.40169635,.499376,.49582136,.62381417,.60736489,.87330163,.84213817,86660,76528,69383,34101,80205,81534,68410,30505
25401,Paducah,138654,21,Kentucky,KY,80.771576,81.363647,83.68708,84.132973,85.48246,85.845039,87.643272,87.899628,74.387428,75.025146,79.23127,79.712296,82.425728,82.810623,84.456001,84.775345,.45011973,.44075325,.55843753,.53927934,.62134248,.59208161,.82542402,.78724873,.36713824,.37315959,.45788896,.45152259,.57223362,.56138098,.73360163,.70909613,101541,93062,92724,64633,88264,93380,93853,59947
25402,Murray,34177,21,Kentucky,KY,82.407585,82.820518,83.047363,83.460503,86.760277,87.076698,88.962502,89.117142,74.727715,75.234566,78.949776,79.412918,82.374161,82.782837,84.276611,84.608826,1.0266839,.98236698,1.1117675,1.0665853,1.4335076,1.3696179,1.3756682,1.3145412,.76823217,.76270509,.93006814,.91597164,1.2122126,1.1737206,1.8597461,1.8053694,22736,22235,19896,12266,20262,21576,18759,10764
25500,Centralia,141040,17,Illinois,IL,80.347023,80.915665,83.943855,84.360672,86.618729,86.929817,86.932167,87.108696,74.674988,75.294243,80.393593,80.819809,82.505669,82.894516,84.743256,84.994736,.51101488,.49767214,.55744344,.53223562,.58688724,.55922872,.90066975,.86567432,.41628477,.41672808,.46859899,.45626143,.59883904,.58591586,.79409248,.76629817,85350,94301,105879,58877,76462,102181,103980,53748
25601,Carbondale,265022,17,Illinois,IL,81.178772,81.687965,84.817932,85.165581,86.732628,87.071579,86.834129,87.124222,74.790329,75.392853,79.558784,79.995491,82.228752,82.663536,84.751556,85.06781,.37030512,.360944,.38535231,.37410599,.49024123,.47025692,.70546377,.67391378,.28376549,.29113528,.36148268,.36210081,.45536467,.45079473,.57190937,.55177474,174571,172982,167807,94257,158689,179141,165534,84635
25602,Harrisburg,37978,17,Illinois,IL,80.563316,81.040421,82.73867,83.157578,84.173866,84.664703,87.162888,87.370956,75.006256,75.510529,81.384224,81.75528,82.557999,83.005325,83.607101,83.964676,.84539312,.81553441,1.0823553,1.0410501,1.2771713,1.2217028,2.0818369,2.0076735,.7088154,.70304447,.85198218,.82284987,1.0914973,1.0498075,1.781837,1.7317876,27704,24142,22861,10841,24466,25708,22332,9561
25701,Cape Girardeau,184036,29,Missouri,MO,80.787201,81.398582,83.994247,84.385872,85.724785,86.069672,88.39045,88.658699,75.405006,76.077583,80.032524,80.46537,82.037918,82.442665,84.90033,85.243416,.41559681,.40368235,.52449727,.50613874,.62369227,.60083342,.76511431,.72291034,.34078717,.3444939,.44758561,.44120234,.57255077,.56104362,.73581249,.70779723,136540,123748,115388,63281,121212,126374,111155,57744
25702,Poplar Bluff,73576,29,Missouri,MO,81.815529,82.271263,83.831825,84.219551,84.746864,85.05513,85.207741,85.489441,75.225647,75.770729,79.842018,80.242447,82.274597,82.647957,83.141182,83.538811,.54503524,.52415597,.84053129,.80066025,1.0355879,.99381578,1.3277196,1.2667429,.41969961,.41822264,.66219038,.64769822,.9673155,.94105947,1.6403764,1.5985987,72119,50359,32571,14297,68686,49288,30123,12799
25800,Blytheville,105181,5,Arkansas,AR,79.54348,80.523865,82.217552,82.722656,85.010765,85.472626,86.653458,86.940193,73.24279,74.254738,77.554031,78.097191,81.371819,81.875427,84.480965,84.772827,.53556526,.52333915,.6917491,.671682,.92671412,.88450557,1.2620026,1.207794,.3862347,.3898772,.5785349,.5731858,.80100572,.77656335,1.0670944,1.0253745,83928,56438,40207,21658,72737,59598,39868,19968
